Sample,Sim_Id,AgeBin,Gender,Population,Province,Result,Year,two_sigma,weight
6,30782597-b538-eb11-a2dd-c4346bcb7271,[0:5),Female,78173.0,Swaziland,88477.39790336687,2000.5,15634.6,1.0
6,30782597-b538-eb11-a2dd-c4346bcb7271,[0:5),Female,78177.0,Swaziland,88477.39790336687,2001.5,15635.4,1.0
6,30782597-b538-eb11-a2dd-c4346bcb7271,[0:5),Female,78027.0,Swaziland,91813.37017454536,2002.5,15605.4,1.0
6,30782597-b538-eb11-a2dd-c4346bcb7271,[0:5),Female,77882.0,Swaziland,92313.76601522212,2003.5,15576.4,1.0
6,30782597-b538-eb11-a2dd-c4346bcb7271,[0:5),Female,78028.0,Swaziland,92721.49595947727,2004.5,15605.6,1.0
6,30782597-b538-eb11-a2dd-c4346bcb7271,[0:5),Female,78662.0,Swaziland,93666.68810297785,2005.5,15732.4,1.0
6,30782597-b538-eb11-a2dd-c4346bcb7271,[0:5),Female,79231.0,Swaziland,95112.27608715517,2006.5,15846.2,1.0
6,30782597-b538-eb11-a2dd-c4346bcb7271,[0:5),Female,80187.0,Swaziland,94370.94891578218,2007.5,16037.4,1.0
6,30782597-b538-eb11-a2dd-c4346bcb7271,[0:5),Female,81412.0,Swaziland,97002.66037415632,2008.5,16282.4,1.0
6,30782597-b538-eb11-a2dd-c4346bcb7271,[0:5),Female,82714.0,Swaziland,98355.58246191202,2009.5,16542.8,1.0
6,30782597-b538-eb11-a2dd-c4346bcb7271,[0:5),Female,84009.0,Swaziland,99745.57090823639,2010.5,16801.8,1.0
6,30782597-b538-eb11-a2dd-c4346bcb7271,[0:5),Female,85648.0,Swaziland,98781.8455854515,2011.5,17129.600000000002,1.0
6,30782597-b538-eb11-a2dd-c4346bcb7271,[0:5),Female,86680.0,Swaziland,99875.30316322666,2012.5,17336.0,1.0
6,30782597-b538-eb11-a2dd-c4346bcb7271,[0:5),Female,87322.0,Swaziland,99838.23680465802,2013.5,17464.4,1.0
6,30782597-b538-eb11-a2dd-c4346bcb7271,[0:5),Female,87880.0,Swaziland,100171.83403177587,2014.5,17576.0,1.0
6,30782597-b538-eb11-a2dd-c4346bcb7271,[0:5),Female,88597.0,Swaziland,100357.16582461911,2015.5,17719.4,1.0
6,30782597-b538-eb11-a2dd-c4346bcb7271,[0:5),Male,79114.0,Swaziland,87865.80298698416,2000.5,15822.8,1.0
6,30782597-b538-eb11-a2dd-c4346bcb7271,[0:5),Male,79146.0,Swaziland,88051.13477982741,2001.5,15829.2,1.0
6,30782597-b538-eb11-a2dd-c4346bcb7271,[0:5),Male,79010.0,Swaziland,88940.727385475,2002.5,15802.0,1.0
6,30782597-b538-eb11-a2dd-c4346bcb7271,[0:5),Male,78865.0,Swaziland,90849.64485176046,2003.5,15773.0,1.0
